difficulty,grade,subject,language,question,optionA,optionB,optionC,optionD,correctOption,concept,hint
advance,11,Physics,Tamil,மேற்பரப்பு ஈர்ப்பு காரணம்,சேர்க்கை சக்தி,இணை சக்தி,தடுப்பு,அழுத்தம்,2,பொருள் பண்புகள்,உட்கோட்டுகளைப் பிடிக்கும்
advance,11,Physics,Tamil,எந்த திரவம் தாங்கு குழாயில் அதிக உயரம் ஏறுகிறது?,ஆல்கஹால்,தண்ணீர்,பராக்சி,கேரோசின்,2,பரப்பல் ஈர்ப்பு,தண்ணீர் கண்ணாடியை நன்கு ஈர்க்கிறது
advance,11,Physics,Tamil,குறிப்புரை: திரவங்களின் ஒளிர்வு வெப்பம் ↑ → குறைகிறது. காரணம்: இடைமூல சக்திகள் வெப்பம் ↑ → குறைவு,"A சரி, R சரி, R விளக்குகிறது","A சரி, R சரி, R விளக்கவில்லை","A சரி, R தவறு","A தவறு, R சரி",1,ஒளிர்வு,வெப்பம் → பிணைப்பு குறைவு
advance,11,Physics,Tamil,யங் மாட்யூலஸ் அளவிடுகிறது,Stress/Strain,Strain/Stress,சக்தி/பரப்பு,அழுத்தம்,1,ஈடுபடல்,Y = Stress/Strain
advance,11,Physics,Tamil,வேறுபட்ட ஒன்று கண்டறி:,Elastic limit,ஹுக் விதி,பாஸ்கல் விதி,Stress-strain கோடு,3,ஈடுபடல்,பாஸ்கல் → திரவ அழுத்த விதி
advance,11,Physics,Tamil,வெப்பம் என்பது,சக்தி,சக்தி,பணி,அழுத்தம்,1,வெப்பவியல்,வெப்பம் → சக்தி பரிமாற்றம்
advance,11,Physics,Tamil,குறிப்பிட்ட வெப்பத்தின் அலகு,J/kgK,J/kg,J/mol,J/m²,1,வெப்பத் தொகை,Q = mcΔT
advance,11,Physics,Tamil,குறிப்புரை: பிரபஞ்சத்தின் entropy எப்போதும் அதிகரிக்கும். காரணம்: 2வது வெப்பவியல் சட்டம்,"A சரி, R சரி, R விளக்குகிறது","A சரி, R சரி, R விளக்கவில்லை","A சரி, R தவறு","A தவறு, R சரி",1,வெப்பவியல்,இயற்கை செயல்கள் மாற்றமற்றவை
advance,11,Physics,Tamil,பொருத்துங்கள்: (a) Isothermal (b) Adiabatic (c) Isochoric (d) Isobaric → (i) ΔU=0 (ii) Q=0 (iii) ΔV=0 (iv) ΔP=0,"a-i, b-ii, c-iii, d-iv","a-ii, b-i, c-iv, d-iii","a-i, b-iii, c-ii, d-iv","a-iv, b-iii, c-i, d-ii",1,வெப்பவியல் செயல்கள்,நிலைகளை அடையாளம் காண்க
advance,11,Physics,Tamil,ஐடியல் வாயுவின் அழுத்தம் சார்புடையது,அளவு,வெப்பநிலை,மாஸ்,பாத்திர வடிவம்,2,இயக்கவியல்,P ∝ T
advance,11,Physics,Tamil,வாயு அணுக்களின் RMS வேகம் சார்புடையது,மாஸ்,அளவு,வெப்பநிலை,அழுத்தம்,3,இயக்கவியல்,T ↑ → வேகம் ↑
advance,11,Physics,Tamil,குறிப்புரை: வாயுவின் அழுத்தம் மெல்லிச் செயலால் ஏற்படும். காரணம்: அணுக்கள் பாட்டில் சுவரை தாக்குகின்றன,"A சரி, R சரி, R விளக்குகிறது","A சரி, R சரி, R விளக்கவில்லை","A சரி, R தவறு","A தவறு, R சரி",1,இயக்கவியல்,அழுத்தம் → மோதல்கள் மூலம்
advance,11,Physics,Tamil,ஒரு அணுக்களின் சுதந்திர அளவு,1,2,3,5,3,இயக்கவியல்,f = 3 (Translational motion)
advance,11,Physics,Tamil,வேறுபட்ட ஒன்று கண்டறி:,பாய்ல் விதி,சார்ல்ஸ் விதி,அவோகாட்ரோ விதி,ஓம் விதி,4,வாயு சட்டங்கள்,ஓம் விதி → மின்சாரம்
advance,11,Physics,Tamil,சிம்பு துடிப்பு காலம் சார்புடையது,நீளம்,மாஸ்,அளவு,அடர்த்தி,1,அதிர்வுகள்,T = 2π√(L/g)
advance,11,Physics,Tamil,எந்த அதிர்வு குறைக்கப்படாதது?,சுதந்திர,குறைக்கப்பட்ட,கட்டாய,ஒத்திசைவு,1,அதிர்வுகள்,friction இல்லாத சுதந்திர இயக்கம்
advance,11,Physics,Tamil,குறிப்புரை: Resonance → இயற்கை வேகம் = இயக்க வேகம். காரணம்: அதிக மாபெரும்,"A சரி, R சரி, R விளக்குகிறது","A சரி, R சரி, R விளக்கவில்லை","A சரி, R தவறு","A தவறு, R சரி",1,அதிர்வுகள்,Resonance → அதிக அதிர்வு
advance,11,Physics,Tamil,எது SHM?,Uniform circular motion,Random motion,Projectile,Frictional sliding,1,SHM,UCMஐ முன்னோக்கிய வரைபடம்
advance,11,Physics,Tamil,பொருத்துங்கள்: (a) Amplitude (b) Frequency (c) Period (d) Wavelength → (i) ஒரு சுழற்சி நேரம் (ii) அலை உயரம்,"a-ii, b-i, c-iii, d-iv","a-ii, b-iii, c-i, d-iv","a-iii, b-ii, c-i, d-iv","a-ii, b-iv, c-iii, d-i",2,அலைகள்,சொல்லுகைகளை பொருத்து
advance,11,Physics,Tamil,இழுவட்டப்பட்ட கம்பியில் அலை வேகம் சார்புடையது,கம்பியின் மாஸ்,தடிமன் & mass/unit length,கம்பி நீளம்,அதிர்வு,2,அலைகள்,v = √(T/μ)
advance,11,Physics,Tamil,ஒலி அலைகள்,நேர்கோடு,கட்கோடு,இரண்டும்,எதுவும் அல்ல,1,அலைகள்,சுருக்கம்-விளைவு → நேர்கோடு
advance,11,Physics,Tamil,குறிப்புரை: ஒளி கட்கோடு அலை. காரணம்: மின்சார & காந்த துறைகள் செங்குத்தாக நடக்கின்றன,"A சரி, R சரி, R விளக்குகிறது","A சரி, R சரி, R விளக்கவில்லை","A சரி, R தவறு","A தவறு, R சரி",1,அலைகள்,EM waves → கட்கோடு
advance,11,Physics,Tamil,எந்த ஊடகத்தில் ஒலி வேகம் அதிகம்?,காற்று,தண்ணீர்,எஃகு,வெற்றிடம்,3,ஒலி அலைகள்,வேகம் ∝ rigidity/density
advance,11,Physics,Tamil,வேறுபட்ட ஒன்று கண்டறி:,விலங்கல்,பிரதிபலிப்பு,மடியல்,சுருக்கு,4,அலை phenomena,சுருக்கு → வெப்பம்
advance,11,Physics,Tamil,எந்த பண்பு அனைத்து EM அலைகளுக்கும் ஒரே?,வேகம்,அலைநீளம்,அதிர்வேகம்,ஆமிள்டியூட்,1,EM அலைகள்,வெற்றிடத்தில் எல்லா அலைகளும் c வேகத்தில் செல்லும்
advance,11,Physics,Tamil,டாப்லர் விளைவு எதை மாற்றுகிறது?,அதிர்வேகம்,வேகம்,அலைநீளம்,ஆமிள்டியூட்,1,அலைகள்,காணப்படும் அதிர்வேகம் மாற்றம்
advance,12,Physics,Tamil,பின்வரும் எது மின்சாரத்தை சிறப்பாக கடத்துகிறது?,ரப்பர்,தாமிரம்,மரம்,பிளாஸ்டிக்,2,மின்சார இயக்கம்,உலோகங்கள் மின்சார அணுக்களை சுதந்திரமாக நகர விடும்
advance,12,Physics,Tamil,குறிப்புரை: காந்தம் இரும்பை ஈர்க்கும். காரணம்: இரும்பு காந்தப்பொருள்,"சரி, காரணம் விளக்குகிறது","சரி, காரணம் விளக்கவில்லை","சரி, தவறு","தவறு, சரி",1,காந்தம்,காந்தப்பொருள்களை காந்தம் ஈர்க்கும்
advance,12,Physics,Tamil,பின்வரும் எது காந்திகரிக்காதது அல்ல?,கண்ணாடி,காகிதம்,வெள்ளி,ரப்பர்,3,மின்சார இயக்கம்,வெள்ளி மின்சாரத்தை நன்கு கடத்துகிறது
advance,12,Physics,Tamil,"பொருத்துங்கள்: (a) வடகாந்தம், (b) தெற்க்காந்தம், (c) குறியீட்டு அசையல், (d) இரும்பு எலும்பு → (i) வடக்கு நோக்குகிறது, (ii) தெற்கை ஈர்க்கும், (iii) வடக்கு ஈர்க்கும், (iv) காந்தமாகிறது","a-ii, b-iii, c-i, d-iv","a-iii, b-ii, c-iv, d-i","a-i, b-ii, c-iii, d-iv","a-iv, b-i, c-ii, d-iii",1,காந்தம்,காந்த திசைகள் மற்றும் பொருட்களை சரியாக பொருத்துங்கள்
advance,12,Physics,Tamil,எது வோல்ட்களில் அளக்கப்படுகிறது?,மின்சாரம்,எதிர்ப்பு,மின்சார மின்னழுத்தம்,சக்தி,3,மின்சார நிலை,வோல்ட்கள் மின்னழுத்தத்தை அளக்கும்
advance,12,Physics,Tamil,எதிர்ப்பு SI அலகு எது?,ஓம்,ஆம்பீர்,வோல்ட்,வாட்,1,மின்சார இயக்கம்,எதிர்ப்பு ஓம்ஸில் (Ω) அளவிடப்படுகிறது
advance,12,Physics,Tamil,வேறுபட்ட ஒன்று கண்டறி:,LED,எதிர்ப்பு,பேட்டரி,காந்தம்,4,அரைமோலர் சாதனங்கள்,காந்தம் மின் சாதனம் அல்ல
advance,12,Physics,Tamil,எந்த விதி மின்சாரம் நேரடியாக மின்னழுத்தத்துடன் சார்பாக உள்ளது?,நியூட்டன் விதி,ஓம் விதி,பாரடை விதி,லென்ஸ் விதி,2,மின்சார இயக்கம்,V = IR விதி ஓம் விதி
advance,12,Physics,Tamil,மின்சாரத்தை அளக்கும் கருவி எது?,வோல்ட்மீட்டர்,ஆமீட்டர்,கல்வனோமீட்டர்,வாட்மீட்டர்,2,மின்சார இயக்கம்,மின்சாரம் ஆமீட்டர் மூலம் அளக்கப்படுகிறது
advance,12,Physics,Tamil,"பின்வரும் எத்தனையாவது காந்திகரிக்காதவை? மரம், பிளாஸ்டிக், கண்ணாடி, இரும்பு",2,3,4,1,2,மின்சார இயக்கம்,இரும்பு காந்திகரிக்கிறது; மற்றவை காந்திகரிக்காதவை
advance,12,Physics,Tamil,எது மின்ன்சார ஊக்க விதியை அடிப்படையாக கொண்டது?,மின்விளக்கு,ஹீட்டர்,ஜெனரேட்டர்,பேட்டரி,3,மின்சார ஊக்கம்,ஜெனரேட்டர் காந்தங்களை பயன்படுத்தி மின்சாரம் உருவாக்குகிறது
advance,12,Physics,Tamil,குறிப்புரை: மின்சாரம் ஓடும் கம்பி காந்தப் புலத்தை உருவாக்குகிறது. காரணம்: நகரும் சார்ஜ்கள் காந்தத்தை உருவாக்கும்,"சரி, காரணம் விளக்குகிறது","சரி, காரணம் விளக்கவில்லை","சரி, தவறு","தவறு, சரி",1,மின்சார காந்தச் செயல்கள்,கம்பியில் ஓடும் மின்சாரம் காந்தப் புலத்தை உருவாக்கும்
advance,12,Physics,Tamil,"பொருத்துங்கள்: (a) ஒற்றைப் படலம், (b) மூன்றைப் படலம், (c) மைக்ரோஸ்கோப், (d) தொலைக்காட்சி → (i) பிரிப்பு, (ii) ஒருங்கிணைவு, (iii) தூரப் பொருட்கள், (iv) சிறிய பொருட்கள்","a-ii, b-i, c-iv, d-iii","a-i, b-ii, c-iii, d-iv","a-iv, b-i, c-ii, d-iii","a-iii, b-iv, c-ii, d-i",1,ஒளியியல்,லென்ஸ்கள் மற்றும் கருவிகள் சரியாக பொருத்தப்பட வேண்டும்
advance,12,Physics,Tamil,பின்வரும் எது காந்தப்பொருள் அல்ல?,இரும்பு,நிக்கல்,தாமிரம்,கோபால்ட்,3,காந்தம்,தாமிரம் காந்தப்பொருள் அல்ல
advance,12,Physics,Tamil,மின்ன்சார சக்தியின் அலகு எது?,ஜூல்,வாட்,வோல்ட்,குலோம்ப்,2,மின்சார இயக்கம்,"சக்தி = VI, Wattsல் அளவிடப்படுகிறது"
advance,12,Physics,Tamil,படச்சார்ஜ் விளைவில் எது பயன்படுத்தப்படுகிறது?,ஒளி,வெப்பம்,ஒலி,காந்தம்,1,இரட்டை இயல்பு,ஒளி எலக்ட்ரான்களை வெளியே விடுகிறது
advance,12,Physics,Tamil,குறிப்புரை: குறியீட்டு அசையல் வடக்கு நோக்குகிறது. காரணம்: பூமி பெரிய காந்தம் போல நடக்கிறது,"சரி, காரணம் விளக்குகிறது","சரி, காரணம் விளக்கவில்லை","சரி, தவறு","தவறு, சரி",1,காந்தம்,பூமிக்கு காந்த திசைகள் உள்ளன
advance,12,Physics,Tamil,பின்வரும் எது காந்தமற்ற காந்த அலை அல்ல?,ஒளி,ஒலி,ரேடியோ அலை,எக்ஸ்-அலை,2,மின்னணுக்கதிர் அலை,"ஒலி காந்த அலை அல்ல, ஊடகம் தேவை"
advance,12,Physics,Tamil,வேறுபட்ட ஒன்று கண்டறி:,ஜெனரேட்டர்,மாற்றி,பேட்டரி,ஆல்டர்நேட்டர்,3,மின்னணுக்காந்தம்,பேட்டரி ஊக்கத்தில் வேலை செய்யாது
advance,12,Physics,Tamil,மின்சாரச் சார்ஜின் SI அலகு எது?,நியூட்டன்,குலோம்ப்,ஆம்பீர்,வோல்ட்,2,மின்னணுக்காற்று,சார்ஜ் குலோம்பில் அளவிடப்படும்
advance,12,Physics,Tamil,பின்வரும் எது புதுப்பிக்கக்கூடிய ஆற்றல் மூலமாக இல்லை?,சூரிய,காற்று,கோலு,நீர்,3,பயன்பாடுகள்,கோலு புதுப்பிக்கமுடியாதது
advance,12,Physics,Tamil,"பொருத்துங்கள்: (a) LED, (b) எதிர்ப்பு, (c) டயோடு, (d) டிரான்ஸிஸ்டர் → (i) ஒரு வழியில் மின்சாரம் கடக்கும், (ii) ஒளி வெளியிடும், (iii) ஓட்டத்தை கட்டுப்படுத்தும், (iv) பெருக்கி","a-ii, b-iii, c-i, d-iv","a-i, b-ii, c-iii, d-iv","a-iii, b-i, c-ii, d-iv","a-iv, b-ii, c-iii, d-i",1,அரைமோலர் சாதனங்கள்,"LED ஒளி வெளியிடும், டயோடு ஒரு வழி கடக்கும"
advance,12,Physics,Tamil,குறிப்புரை: ஒற்றைப் படலம் உண்மையான படங்களை உருவாக்கும். காரணம்: ஒற்றைப் படலம் ஒளியை ஒருங்கிணைக்கும்,"சரி, காரணம் விளக்குகிறது","சரி, காரணம் விளக்கவில்லை","சரி, தவறு","தவறு, சரி",1,ஒளியியல்,ஒற்றைப் படலம் உண்மையான படங்களை உருவாக்கும்
advance,12,Physics,Tamil,பின்வரும் எது எதிர்முக சார்ஜ் கொண்டது?,புரோட்டான்,எலக்ட்ரான்,நியூட்ரான்,புகான்,2,மின்னணுக்காற்று,எலக்ட்ரான்கள் எதிர்முக சார்ஜ் கொண்டவை
advance,12,Physics,Tamil,எது ஓம்-மீட்டரில் அளக்கப்படுகிறது?,மின்சாரம்,எதிர்ப்பு,மின்னழுத்தம்,சக்தி,2,மின்சார இயக்கம்,எதிர்ப்பு அலகு Ω·மீ
advance,12,Physics,Tamil,வேறுபட்ட ஒன்று கண்டறி:,லென்ஸ்,கண்ணாடி,பிரிசம்,காந்தம்,4,ஒளியியல்,காந்தம் ஒளிப்பொருள் அல்ல
advance,12,Physics,Tamil,வானம் நீலமாக தோன்றும் காரணம்?,பிரதிபலிப்பு,வெளிர்வு,விரிக்கல்,உறிஞ்சல்,3,ஒளியியல்,நீல ஒளி அதிகமாக விரிகிறது
advance,12,Physics,Tamil,குறிப்புரை: மின்னழுத்தம் காற்று மூலம் நிகழ்கிறது. காரணம்: மேகங்களுக்கு இடையே மூறல்,"சரி, காரணம் விளக்குகிறது","சரி, காரணம் விளக்கவில்லை","சரி, தவறு","தவறு, சரி",1,மின்னணுக்காற்று,மேகங்களில் சார்ஜ் உருவாகி வெளியேறுகிறது
advance,12,Physics,Tamil,"பொருத்துங்கள்: (a) ஓம், (b) பாரடை, (c) வாட், (d) குலோம்ப் → (i) சார்ஜ், (ii) சக்தி, (iii) எதிர்ப்பு, (iv) ஊக்கம்","a-iii, b-iv, c-ii, d-i","a-iv, b-iii, c-i, d-ii","a-i, b-ii, c-iii, d-iv","a-ii, b-i, c-iv, d-iii",1,விஞ்ஞானிகள்,SI அலகுகளை விஞ்ஞானிகளுடன் பொருத்துங்கள்
advance,12,Physics,Tamil,அதிர்வெண் SI அலகு,ஹெர்ட்ஸ்,வாட்,ஜூல்,டெஸ்லா,1,அலைகள்,அதிர்வெண் Hzல் அளவிடப்படும்
advance,12,Physics,Tamil,வேறுபட்ட ஒன்று கண்டறி:,இன்ஃப்ராரெட்,உல்ட்ராவயலெட்,எக்ஸ்-அலை,ஒலி,4,மின்னணுக்காந்த அலை,ஒலி இயந்திர அலை
advance,12,Physics,Tamil,எது சார்ஜ் சேமிக்கிறது?,எதிர்ப்பு,கெபாசிட்டர்,இன்டக்டர்,மாற்றி,2,மின்னணுக்காற்று,கெபாசிட்டர்கள் சார்ஜ் சேமிக்கும்
advance,12,Physics,Tamil,குறிப்புரை: மின்விளக்கு ஒளி உற்பத்தி செய்கிறது. காரணம்: கம்பி சூடாகி ஒளி வெளிப்படும்,"சரி, காரணம் விளக்குகிறது","சரி, காரணம் விளக்கவில்லை","சரி, தவறு","தவறு, சரி",1,மின்சார இயக்கம்,கம்பி சூடாகி ஒள
advance,12,Physics,Tamil,"பொருத்துங்கள்: (a) நியூட்டன், (b) ஆம்பீர், (c) வோல்ட், (d) ஓம் → (i) விசை, (ii) மின்னழுத்தம், (iii) எதிர்ப்பு, (iv) மின்சாரம்","a-i, b-iv, c-ii, d-iii","a-ii, b-iii, c-iv, d-i","a-iii, b-i, c-ii, d-iv","a-iv, b-ii, c-i, d-iii",1,அலகுகள்,SI அலகுகளை சரியாக பொருத்துங்கள்
advance,12,Physics,Tamil,எது மின்ன்சார ஊக்கத்தை விளக்குகிறது?,லென்ஸ் விதி,பாரடை விதி,கோலம்பின் விதி,ஓம் விதி,2,மின்ன்சார ஊக்கம்,பாரடை மின்ன்சார ஊக்கத்தை கண்டுபிடித்தார்
advance,12,Physics,Tamil,எது மிக வேகமாக பயணிக்கும்?,ஒலி,நீர் அலை,ஒளி,காற்று அலை,3,அலைகள்,ஒளி மிக வேகமாக பயணிக்கும்
advance,12,Physics,Tamil,வேறுபட்ட ஒன்று கண்டறி:,DC,AC,ஜெனரேட்டர்,பேட்டரி,3,மின்சாரம்,ஜெனரேட்டர் AC உருவாக்கும்
advance,12,Physics,Tamil,குறிப்புரை: கண்ணாடிகள் மெய் படங்களை உருவாக்கும். காரணம்: ஒளியை பிரதிபலிக்கும்,"சரி, காரணம் விளக்குகிறது","சரி, காரணம் விளக்கவில்லை","சரி, தவறு","தவறு, சரி",2,ஒளியியல்,பிரதிபலிப்பு மெய் படத்தை விளக்காது
advance,12,Physics,Tamil,எது ஒளியை பரவலாக்குகிறது?,லென்ஸ்,பிரிசம்,கண்ணாடி,தொலைக்காட்சி,2,ஒளியியல்,பிரிசம் ஒளியை பரவலாக்கும்
advance,12,Physics,Tamil,"பொருத்துங்கள்: (a) எலக்ட்ரான், (b) புரோட்டான், (c) நியூட்ரான், (d) புகான் → (i) ஒளி துகள், (ii) நியூட்ரல், (iii) எதிர்முக, (iv) நேர்முக","a-iii, b-iv, c-ii, d-i","a-iv, b-i, c-ii, d-iii","a-i, b-iii, c-iv, d-ii","a-ii, b-iv, c-i, d-iii",1,அணு கட்டமைப்பு,துணை அணு துகள்
advance,12,Physics,Tamil,காந்தப் புல வலிமையின் SI அலகு,வேபர்,டெஸ்லா,காஸ்,ஹென்றி,2,காந்தம்,டெஸ்லா = காந்த புல அடர்த்தி
advance,12,Physics,Tamil,வேறுபட்ட ஒன்று கண்டறி:,மோட்டார்,விசிறி,ஜெனரேட்டர்,டார்ச்,4,மின்சாரம்,டார்ச் மோட்டார் சாரா சாதனம்
advance,12,Physics,Tamil,எந்த விஞ்ஞானி பொருள் அலைகளை முன்மொழிந்தார்?,ஐன்ஸ்டீன்,நியூட்டன்,டெ ப்ரோலீ,போர்,3,இரட்டை இயல்பு,டெ ப்ரோலீ பொருள் அலைகளை முன்மொழிந்தார்
advance,12,Physics,Tamil,குறிப்புரை: அரைமோலர்கள் காந்திகரிக்காதவைகளை விட சிறந்ததாக நடக்கின்றன. காரணம்: அவற்றில் குறைந்த சுதந்திர எலக்ட்ரான்கள் உள்ளன,"சரி, காரணம் விளக்குகிறது","சரி, காரணம் விளக்கவில்லை","சரி, தவறு","தவறு, சரி",1,அரைமோலர் சாதனங்கள்,அரைமோலர்கள் மிதமான எதிர்ப்பு கொண்டவை
advance,12,Physics,Tamil,எந்த அலை ஊடகம் தேவை?,ஒளி,ரேடியோ,ஒலி,எக்ஸ்-அலை,3,அலைகள்,ஒலி ஊடகம் தேவை
advance,12,Physics,Tamil,"பொருத்துங்கள்: (a) மைக்ரோஸ்கோப், (b) தொலைக்காட்சி, (c) ஸ்பெக்ட்ரோமீட்டர், (d) கேமரா → (i) படம் பதிவு செய்கிறது, (ii) தூரப் பொருட்கள், (iii) சிறிய பொருட்கள், (iv) ஸ்பெக்ட்ரம்","a-iii, b-ii, c-iv, d-i","a-ii, b-iv, c-i, d-iii","a-i, b-iii, c-ii, d-iv","a-iv, b-iii, c-ii, d-i",1,கருவிகள்,ஒளியியல் கருவிகளின் பயன்பாடு
advance,12,Physics,Tamil,மின்ன்சார சக்தியின் அலகு,ஜூல்,வாட்,வோல்ட்,ஆம்பீர்,1,மின்சாரம்,சக்தி = ஜூல்
advance,12,Physics,Tamil,வேறுபட்ட ஒன்று கண்டறி:,ஒற்றைப் படலம்,மூன்றைப் படலம்,சமதள கண்ணாடி,காந்தம்,4,ஒளியியல்,காந்தம் ஒளியியல் கருவி அல்ல
advance,12,Physics,Tamil,"எந்த விதி: ""உருவான மின்ன்சார ஊக்கம் அதை உருவாக்கிய காரணத்தை எதிர்க்கிறது""?",கோலம்பின் விதி,ஓம் விதி,லென்ஸ் விதி,பாரடை விதி,3,மின்ன்சார ஊக்கம்,எதிர்ப்பு விதி
advance,12,Physics,Tamil,குறிப்புரை: சூரிய செல்கள் மின்சாரம் உருவாக்கும். காரணம்: அவை ஒளியை மின்ன்சார சக்தியாக மாற்றும்,"சரி, காரணம் விளக்குகிறது","சரி, காரணம் விளக்கவில்லை","சரி, தவறு","தவறு, சரி",1,பயன்பாடுகள்,சூரிய செல்கள் ஒளியை மின்சாரமாக மாற்றும்
beginner,6,Chemistry,English,Which of the following is a solid?,Air,Milk,Stone,Water,3,States of Matter,Solids have a definite shape
beginner,6,Chemistry,English,"""Ice melts into water"" — this is what kind of change?",Chemical change,Physical change,Combustion,Oxidation,2,Change of State,Only the form changes
beginner,6,Chemistry,English,What is soap used for?,Food,Cleaning,Construction,Fertilizer,2,Chemistry in Daily Life,Used to clean hands and clothes
beginner,6,Chemistry,English,What is the main component of cement?,Quartz,Limestone,Salt,Sulphur,2,Cement,Limestone is used
beginner,6,Chemistry,English,What are the three states of matter?,"Solid, liquid, gas","Liquid, ice, steam","Land, water, air","Sound, light, heat",1,States of Matter,Three basic states exist
beginner,6,Chemistry,English,Which of the following is an adhesive?,Glue,Milk,Sugar,Honey,1,Adhesives,Used to stick paper
beginner,6,Chemistry,English,What is Plaster of Paris used for?,Add taste,Building decoration,Making soap,Fertilizer,2,POP,Used in wall decoration and plaster
beginner,6,Chemistry,English,"""Water boils and becomes steam"" — this is?",Physical change,Chemical change,Decay,Combustion,1,Change of State,Can be converted back to water
beginner,6,Chemistry,English,Choose the odd one:,Stone,Wood,Air,Iron,3,States,It is a gas
beginner,6,Chemistry,English,What is detergent mainly used for?,Cleaning clothes,Taste,Building,Fertilizer,1,Soap/Detergent,Produces bubbles
beginner,6,Chemistry,English,Assertion: Solids have definite shape. Reason: Solid particles are closely packed.,Assertion true only,Reason true only,"Both true, reason explains",Both false,3,Solids,Atoms are tightly packed
beginner,6,Chemistry,English,"Match: (a) Milk – (1) Liquid, (b) Air – (2) Gas, (c) Stone – (3) Solid","a-1,b-2,c-3","a-3,b-1,c-2","a-2,b-3,c-1","a-1,b-3,c-2",1,States,"Milk=liquid, Air=gas, Stone=solid"
beginner,6,Chemistry,English,What are fertilizers used for?,Food,Soil fertility,Building,Cleaning,2,Fertilizers,Helps crop growth in farming
beginner,6,Chemistry,English,How many statements are true? (a) Water freezes to ice (b) Ice melts to water (c) Boiling water forms ice,1,2,3,None,2,Change of State,"(a),(b) true, (c) false"
beginner,6,Chemistry,English,In which industry is limestone used?,Construction,Cleaning,Cooking,Drink,1,Cement,Used in cement making
beginner,6,Chemistry,English,Glue belongs to which category?,Fertilizer,Adhesive,Soap,Salt,2,Adhesive,"Used to stick wood, paper"
beginner,6,Chemistry,English,What is common in soap and detergent?,Taste,Cleaning,Color,Metal,2,Soaps/Detergents,Both are cleaning agents
beginner,6,Chemistry,English,"Stone, iron, wood belong to which state?",Liquid,Solid,Gas,Steam,2,Solids,Shape is fixed
beginner,6,Chemistry,English,Which mineral is used to make POP?,Gypsum,Quartz,Lime,Limestone,1,POP,POP = Gypsum derivative
beginner,6,Chemistry,English,"""Gas has no fixed shape"" – True?",Yes,No,Sometimes,Always,1,Gases,Gases take container shape
beginner,6,Chemistry,English,How many are true? (a) Solid has fixed shape (b) Liquid has fixed volume (c) Gas has fixed volume,1,2,3,0,2,States,(a) and (b) are correct
beginner,6,Chemistry,English,"Match: (a) Fertilizer – (1) Farming, (b) Soap – (2) Cleaning, (c) Cement – (3) Building","a-1,b-2,c-3","a-2,b-1,c-3","a-3,b-1,c-2","a-1,b-3,c-2",1,Daily Chemistry,"Fertilizer=farming, soap=cleaning, cement=building"
beginner,6,Chemistry,English,"Air, milk, stone, iron — odd one?",Air,Milk,Stone,Iron,1,States,"Air is gas, others solid/liquid"
beginner,6,Chemistry,English,Why do bubbles form in soap?,Air,Water,Salt,Oil,1,Soap,Traps air inside
beginner,6,Chemistry,English,What happens if limestone is heated?,Ice,Quicklime,Quartz,POP,2,Lime,Forms calcium oxide
beginner,6,Chemistry,English,Assertion: POP sets quickly. Reason: It has less water.,Assertion true only,Reason true only,Both true,Both false,3,POP,POP contains less water
beginner,6,Chemistry,English,If fertilizer is used in excess?,Yield increases,Soil gets damaged,Crops become green,None,2,Fertilizers,Overuse harms soil
beginner,6,Chemistry,English,Main ingredient of detergent?,Sodium carbonate,Calcium oxide,Magnesium sulphate,Iron oxide,1,Detergent,Contains sodium salts
beginner,6,Chemistry,English,How many are true? (a) Gas density high (b) Solids tightly packed,1,2,0,3,1,Matter,Only (b) correct
beginner,6,Chemistry,English,How fast does POP set?,Minutes,Hours,Days,Weeks,1,POP,Sets very quickly
beginner,6,Chemistry,English,Can stone be compressed easily?,Yes,No,Sometimes,Only in water,2,Solids,Solids cannot be compressed
beginner,6,Chemistry,English,"Match: (a) POP – (1) Decoration, (b) Soap – (2) Cleaning, (c) Fertilizer – (3) Crop","a-1,b-2,c-3","a-2,b-1,c-3","a-3,b-1,c-2","a-1,b-3,c-2",1,Everyday,Each has unique use
beginner,6,Chemistry,English,Do liquids have a fixed shape?,Yes,No,Sometimes,Only when heated,2,Liquids,Take container shape
beginner,6,Chemistry,English,Where are adhesives used most?,Medicine,Office,Sports,Cooking,2,Adhesives,Used to stick papers
beginner,6,Chemistry,English,In what state is soap usually found?,Solid,Liquid,Gas,Plasma,1,Soap,Found as bars
beginner,6,Chemistry,English,POP is used in which industry?,Building,Cooking,Farming,Fuel,1,POP,For decorative plastering
beginner,6,Chemistry,English,How many are true? (a) Gas can be compressed (b) Liquid has fixed shape,1,2,0,3,1,Matter,Only (a) true
beginner,6,Chemistry,English,"Odd one out: Soap, Detergent, Fertilizer, Glue",Soap,Detergent,Fertilizer,Glue,3,Chemistry,Fertilizer has different use
beginner,6,Chemistry,English,Which property does air have?,Fixed shape,Fixed volume,"No shape, no volume","No shape, has volume",4,Gases,Gas has volume
beginner,6,Chemistry,English,How is lime obtained?,Heating limestone,Breaking stones,Dissolving salt,Boiling water,1,Lime,Obtained by heating limestone
beginner,6,Chemistry,English,At what temperature is POP made?,100°C,150°C,200°C,250°C,2,POP,Gypsum heated
beginner,6,Chemistry,English,Why is cement used in buildings?,Taste,Strength,Color,Softness,2,Cement,Provides strength
